No,Kategori,Judul Artikel,URL
1,Programming,5 Proyek Coding yang Wajib Dicoba Pemula!,https://specialskill.id/article/2026/07/31/proyek-coding-pemula/
2,Programming,Jangan Cuma Suruh AI Bikin Kode! Ini Cara Prompt yang Tepat,https://specialskill.id/article/2026/08/17/prompt-ai-untuk-coding/
3,Programming,Membangun Pola Pikir Coder dan Memahami Algoritma,https://specialskill.id/article/2025/09/24/membangun-pola-pikir-coder-dan-memahami-algoritma-2/
4,Programming,Panduan Fundamental: Struktur Data dan Nested Loop di Python,https://specialskill.id/article/2025/07/22/panduan-fundamental-struktur-data-dan-nested-loop-di-python/
5,Programming,Iterasi dan Pemrograman Modular Python,https://specialskill.id/article/2025/07/21/iterasi-dan-pemrograman-modular-python/
6,Programming,"7 Bahasa Pemrograman Paling Dicari di 2026, Kamu Harus Mulai dari Mana?",https://specialskill.id/article/2026/04/11/7-bahasa-pemrograman-paling-dicari-di-2026-kamu-harus-mulai-dari-mana/
7,Machine Learning,AI dan Machine Learning Apa Bedanya? Ini Penjelasannya,https://specialskill.id/article/2026/06/08/ai-dan-machine-learning/
8,Machine Learning,7 Contoh Penerapan Machine Learning dalam Kehidupan Sehari-hari,https://specialskill.id/article/2025/11/14/penerapan-machine-learning-dalam-kehidupan-sehari-hari/
9,Machine Learning,Machine Learning Masih Layak Dipelajari? Ini Faktanya,https://specialskill.id/article/2026/07/20/machine-learning-masih-layak-dipelajari/
10,Machine Learning,"Apa Itu Machine Learning? Yuk, Kenali Pengertian Sampai Cara Kerjanya",https://specialskill.id/article/2025/03/08/apa-itu-machine-learning-pengertian-dan-cara-kerjanya/
11,Machine Learning,AI Bisa Salah Jawab? Ternyata Ini Penyebabnya,https://specialskill.id/article/2026/08/07/ai-salah-jawab/
12,Machine Learning,Memahami Supervised dan Unsupervised Learning ! Apa perbedaanya?,https://specialskill.id/article/2025/03/08/memahami-supervised-dan-unsupervised-learning-apa-perbedaanya/
13,Mobile Development,"Bikin Aplikasi Gak Cuma Soal Coding, 5 Hal Ini Sering Terlewat",https://specialskill.id/article/2026/07/27/bikin-aplikasi-bukan-cuma-soal-coding/
14,Mobile Development,No-Code Vs Traditional Coding: Mana yang Lebih Baik ?,https://specialskill.id/article/2025/06/25/no-code-vs-traditional-coding-mana-yang-lebih-baik/
15,Mobile Development,Flutter atau React Native? Mana yang Lebih Cocok untuk Pemula,https://specialskill.id/article/2026/07/07/flutter-atau-react-native-untuk-pemula/
16,Mobile Development,Mobile Developer Masih Dibutuhkan di Era AI? Ini Faktanya di 2026,https://specialskill.id/article/2026/06/10/mobile-developer-di-era-ai/
17,Web Development,Mengenal Website dan Hosting serta Tips Cerdas Memilih Hosting Terbaik,https://specialskill.id/article/2025/06/26/tips-cerdas-memilih-hosting-terbaik/
18,Web Development,"Tips Optimasi WordPress Supaya Lebih Kenceng, Mulai dari Database, Foto, Kesehatan sampai SEO",https://specialskill.id/article/2025/06/25/tips-optimasi-wordpress-untuk-meningkatkan-kinerjanya/
19,Web Development,10 Pertanyaan Interview yang Paling Sering Ditanyakan kepada Web Developer,https://specialskill.id/article/2025/11/18/pertanyaan-interview-yang-paling-sering-ditanyakan-kepada-web-developer/
20,Web Development,11 Basic HTML Tags yang Wajib Diketahui Pemula,https://specialskill.id/article/2025/11/18/basic-html-tags-yang-wajib-diketahui-pemula/
21,Web Development,Mudah! Simak 4 Langkah Install XAMPP di Windows,https://specialskill.id/article/2025/06/26/langkah-install-xampp-di-windows/
22,Web Development,Hanya Hitungan Menit! Berikut 4 Tahapan Install WordPress Menggunakan Softaculous,https://specialskill.id/article/2025/06/26/tahapan-install-wordpress-menggunakan-softaculous/
23,Web Development,Teknik Optimasi WordPress & Jenis Plugin Buat Optimasi,https://specialskill.id/article/2025/06/25/teknik-optimasi-wordpress-dan-strategi-penggunaan-plugin-untuk-performa-maksimal/
24,Web Development,Web Developer Pemula Sering Melakukan 5 Kesalahan Ini,https://specialskill.id/article/2026/06/26/web-developer-pemula-sering-melakukan-5-kesalahan-ini/
25,Web Development,Step by Step: Cara Install WordPress Pakai XAMPP di Laptop,https://specialskill.id/article/2025/06/25/cara-install-wordpress-pakai-xampp/
26,Web Development,Website Lemot? Kenali 5 Penyebabnya,https://specialskill.id/article/2026/08/10/website-lemot/
27,Web Development,Pemula Wajib Tahu! Simak 4 Elemen Dasar Pada Dashboard WordPress Berikut,https://specialskill.id/article/2025/06/26/elemen-dasar-pada-dashboard-wordpress/
28,Web Development,9 Perbedaan WordPress.org dan WordPress.com yang Penting buat Diketahui,https://specialskill.id/article/2025/11/18/9-perbedaan-wordpress-org-dan-wordpress-com-yang-penting-buat-diketahui/
29,Web Development,5 Plugin VS Code yang Bikin Coding Lebih Cepat,https://specialskill.id/article/2026/08/27/plugin-vs-code-bikin-coding-lebih-cepat/
30,Web Development,Mudah & Gratis! Cara Konfigurasi WordPress di Pantheon,https://specialskill.id/article/2025/06/25/mudah-dan-gratis-cara-konfigurasi-wordpress-di-pantheon/
31,Data Analyst,Mengenal Apa Itu Data Wrangling Sampai Langkah Utama Melakukannya,https://specialskill.id/article/2025/06/25/apa-itu-data-wrangling-dan-langkah-utama-melakukannya/
32,Data Analyst,"Data Analyst Bukan Cuma Mengolah Angka, Ini Faktanya",https://specialskill.id/article/2026/07/03/data-analyst-bukan-cuma-mengolah-angka/
33,Data Analyst,Skill Data Analyst yang Paling Dicari Recruiter di 2026,https://specialskill.id/article/2026/06/15/skill-data-analyst-yang-paling-dicari-recruiter/
34,Data Analyst,Langkah-Langkah Exploratory Data Analysis (EDA) di Excel untuk Pemula,https://specialskill.id/article/2025/06/25/langkah-langkah-melakukan-eda-di-excel/
35,Data Analyst,Belajar Data Analyst dari Nol? Mulai dari 5 Langkah Ini,https://specialskill.id/article/2026/07/24/langkah-awal-jadi-data-analyst/
36,Data Analyst,Belajar Dasar Visualisasi Data,https://specialskill.id/article/2025/06/25/belajar-dasar-visualisasi-data/
37,Data Analyst,5 AI Tools Data Analyst yang Bikin Kerja Lebih Efisien,https://specialskill.id/article/2026/08/25/ai-tools-data-analyst/
38,Data Analyst,Tantangan Dalam Pengolahan Data: Hindari 5 Jebakan Ini Biar Data-mu Nggak Jadi Bumerang!,https://specialskill.id/article/2025/06/25/tantangan-dalam-pengolahan-data/
39,UI/UX Design,UI Designer atau UX Researcher? Mana yang Cocok Buat Kamu?,https://specialskill.id/article/2026/06/19/ui-designer-atau-ux-researcher/
40,UI/UX Design,"Tips Desain UX, Cara Mudah Ciptakan Pengalaman Pengguna yang Nyaman dan Optimal",https://specialskill.id/article/2025/03/08/tips-desain-ux-cara-mudah-ciptakan-pengalaman-pengguna/
41,UI/UX Design,4 Panduan Membuat Portofolio UI/UX Pemula,https://specialskill.id/article/2025/11/28/4-panduan-membuat-portofolio-ui-ux-pemula/
42,UI/UX Design,5 Cara UI/UX Designer Beradaptasi di Era AI,https://specialskill.id/article/2026/07/09/uiux-designer-di-era-ai/
43,UI/UX Design,Ini Dia 4 Teori Warna UI/UX yang Bikin Desainmu Naik Level,https://specialskill.id/article/2025/11/28/teori-warna-ui-ux/
44,UI/UX Design,Pentingnya Desain Responsif untuk Semua Perangkat,https://specialskill.id/article/2025/06/25/pentingnya-desain-responsif-menyajikan-tampilan-web-dan-aplikasi-yang-sempurna-di-semua-perangkat-2/
45,UI/UX Design,Mengenal Apa Itu UI/UX Design yang Bisa Bikin Produk Digital Jadi Keren,https://specialskill.id/article/2025/06/26/mengenal-apa-itu-ui-ux-design-dasar-product-digital-yang-mengagumkan/
46,UI/UX Design,"Skill UI/UX yang Bikin Kamu Dilirik Perusahaan, Gak Cuma Figma!",https://specialskill.id/article/2026/07/22/skill-ui-ux-dicari-perusahaan/
47,UI/UX Design,"Apa Itu Figma? Yuk, Intip Fitur Figma Hingga Cara Mendaftarnya",https://specialskill.id/article/2025/06/26/apa-itu-figma-fitur-fungsi-dan-cara-mendaftarnya/
48,UI/UX Design,"3 Tips Jadi Figma Expert: Kuasai Hi-Fi, Dokumentasi, & Desain Lanjutan",https://specialskill.id/article/2025/06/25/tips-jadi-figma-expert/
49,UI/UX Design,6 Rekomendasi Plugin AI Figma yang Wajib Kamu Coba,https://specialskill.id/article/2025/11/28/6-rekomendasi-plugin-ai-figma-yang-wajib-kamu-coba/
50,UI/UX Design,Jangan Asal Bikin UI! Kenali Design System Dulu,https://specialskill.id/article/2026/08/03/design-system-ui-ux/
51,UI/UX Design,Desain Bagus Tapi Membingungkan Pengguna? Kenali 5 Tandanya,https://specialskill.id/article/2026/06/17/desain-bagus-tapi-membingungkan-pengguna/
52,Design Graphic,6 Inspirasi Gaya Desain yang Lagi Trend Tahun Ini,https://specialskill.id/article/2025/11/14/inspirasi-gaya-desain-yang-lagi-trend-tahun-ini/
53,Design Graphic,5 Ide Portofolio Desain untuk Pemula! Simple Tapi Bikin Pede,https://specialskill.id/article/2025/11/13/5-ide-portofolio-desain-untuk-pemula-simple-tapi-bikin-pede/
54,Design Graphic,"Desain Bergerak Makin Populer, Kenalan dengan Motion Graphics!",https://specialskill.id/article/2026/08/12/desain-bergerak-motion-graphics/
55,Design Graphic,Sering Alami Art Block? Ini Dia 10 Rekomendasi Website Desain buat Desainer Grafis,https://specialskill.id/article/2025/06/25/mengatasi-art-block-ini-dia-10-website-untuk-referensi-desain-kamu/
56,Design Graphic,5 Keuntungan Skill Desain Grafis di Dunia Kerja Modern,https://specialskill.id/article/2025/11/14/5-keuntungan-skill-desain-grafis-di-dunia-kerja-modern/
57,Design Graphic,5 Resource Desain Gratis yang Wajib Kamu Simpan,https://specialskill.id/article/2026/07/29/resource-desain-gratis/
58,Design Graphic,"Desain Menarik Punya 5 Tanda Ini, Sudah Ada di Karyamu?",https://specialskill.id/article/2026/06/26/desain-menarik-5-tanda/
59,Design Graphic,4 Rekomendasi Tools Desain yang Wajib Dicoba: Dari Canva Sampai Figma,https://specialskill.id/article/2025/11/13/4-rekomendasi-tools-desain-yang-wajib-dicoba-dari-canva-sampai-figma/
60,Design Graphic,3 Kesalahan Pemula Saat Mulai Belajar Desain,https://specialskill.id/article/2025/11/13/3-kesalahan-pemula-saat-mulai-belajar-desain/
61,Digital Marketing,"Belajar Digital Marketing Pakai AI, Mulai dari Mana?",https://specialskill.id/article/2026/08/21/belajar-digital-marketing-pakai-ai/
62,Digital Marketing,Pahami Konsep Digital Marketing: Panduan untuk Pemula,https://specialskill.id/article/2025/11/28/pahami-konsep-digital-marketing-panduan-untuk-pemula/
63,Digital Marketing,5 Skill Digital Marketing yang Wajib Dikuasai Pemula,https://specialskill.id/article/2026/07/17/skill-digital-marketing/
64,Digital Marketing,5 Tanda Kamu Punya Potensi di Dunia Digital Marketing,https://specialskill.id/article/2026/06/29/5-tanda-kamu-punya-potensi-di-dunia-digital-marketing/
65,Digital Marketing,"Belajar Digital Marketing: Mulai dari SEO, Ads, atau Sosial Media?",https://specialskill.id/article/2026/06/12/belajar-digital-marketing/
66,Digital Marketing,Tradisional vs Digital Marketing: Mana yang Lebih Baik?,https://specialskill.id/article/2025/11/28/tradisional-vs-digital-marketing-mana-yang-lebih-baik/
